City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,arraial do cabo,-22.9661,-42.0278,24.13,90,91,10.59,BR,1675228278
187,winkler,49.1817,-97.941,-21.9,93,8,2.32,CA,1675228044
188,tasiilaq,65.6145,-37.6368,-10.91,72,96,3.57,GL,1675228279
189,longyearbyen,78.2186,15.6401,-9.09,62,40,4.63,SJ,1675228120
190,shyryayeve,47.3805,30.1964,-2.44,92,37,2.82,UA,1675228221
191,atasu,48.6814,71.6433,-11.54,95,90,2.47,KZ,1675228280
192,barrow,71.2906,-156.7887,-20.99,77,0,11.32,US,1675228281
193,amapa,1.0,-52.0,20.97,100,94,1.05,BR,1675228281
194,walvis bay,-22.9575,14.5053,17.83,81,100,2.32,NA,1675228282
195,inongo,-1.95,18.2667,22.53,85,70,2.29,CD,1675228282
196,kaitangata,-46.2817,169.8464,17.94,87,99,2.46,NZ,1675228283
197,jalu,29.0331,21.5482,9.69,75,4,5.2,LY,1675228283
198,vanimo,-2.6741,141.3028,28.66,73,95,2.53,PG,1675228284
199,phetchaburi,12.9667,99.5833,33.5,27,58,2.08,TH,1675228284
200,college,64.8569,-147.8028,-9.4,78,100,2.57,US,1675228242
201,port elizabeth,-33.918,25.5701,22.4,93,0,4.12,ZA,1675228285
202,andenes,69.3143,16.1194,0.99,69,75,2.06,NO,1675228285
203,maragogi,-9.0122,-35.2225,24.91,82,59,1.98,BR,1675228286
204,leningradskiy,69.3833,178.4167,-14.8,96,100,4.43,RU,1675228286
205,fort nelson,58.8053,-122.7002,-16.7,81,100,1.21,CA,1675228109
206,warri,5.5167,5.75,24.94,89,31,1.42,NG,1675228165
207,dingle,10.9995,122.6711,28.58,75,47,6.78,PH,1675228287
208,luyang,27.6239,110.0989,13.46,40,100,1.51,CN,1675228288
209,hithadhoo,-0.6,73.0833,27.28,73,16,5.15,MV,1675228288
210,pekalongan,-6.8886,109.6753,30.01,74,95,5.1,ID,1675228289
211,beringovskiy,63.05,179.3167,-7.0,99,60,3.38,RU,1675228252
212,baijiantan,45.6333,85.1833,-12.81,72,28,0.78,CN,1675228290
213,henties bay,-22.116,14.2845,17.32,88,100,2.51,NA,1675228290
214,tahe,52.3333,124.7333,-12.39,62,14,4.99,CN,1675228291
215,shimoda,34.6667,138.95,11.72,64,51,8.34,JP,1675228291
216,akyab,20.15,92.9,25.34,41,68,1.97,MM,1675228292
217,new ulm,44.3125,-94.4605,-16.79,71,0,1.54,US,1675228292
218,katherine,-14.4667,132.2667,27.18,83,75,8.23,AU,1675228293
219,sola,-13.8833,167.55,27.82,69,98,2.38,VU,1675228293
220,labuhan,-6.8844,112.2051,28.11,77,100,4.38,ID,1675228294
221,half moon bay,37.4636,-122.4286,10.01,50,20,3.6,US,1675228155
222,ak-dovurak,51.1833,90.6,-20.03,94,96,0.71,RU,1675228295
223,tuatapere,-46.1333,167.6833,19.87,80,98,2.01,NZ,1675228251
